cross_type,pop_size,child_perc,mut_perc,gen_mut_perc,cost,exec_time
uniform,50,30,25,40,484,7.92
uniform,50,40,25,40,566,5.78
uniform,50,50,25,40,513,5.77
uniform,50,60,25,40,592,6.99
uniform,50,70,25,40,358,4.86
uniform,50,60,15,40,523,6.61
uniform,50,60,25,40,639,9.03
uniform,50,60,35,40,408,6.7
uniform,50,60,45,40,416,5.11
uniform,50,60,55,40,599,6.74
uniform,50,60,25,20,338,6.19
uniform,50,60,25,30,489,6.05
uniform,50,60,25,40,419,7.19
uniform,50,60,25,50,416,7.96
uniform,50,60,25,60,414,8.04
one_point,50,30,25,40,421,6.33
one_point,50,40,25,40,493,7.81
one_point,50,50,25,40,510,6.62
one_point,50,60,25,40,527,7.24
one_point,50,70,25,40,519,5.97
one_point,50,60,15,40,563,8.45
one_point,50,60,25,40,424,4.7
one_point,50,60,35,40,287,5.37
one_point,50,60,45,40,619,6.92
one_point,50,60,55,40,543,7.28
one_point,50,60,25,20,425,5.18
one_point,50,60,25,30,485,5.58
one_point,50,60,25,40,478,5.92
one_point,50,60,25,50,396,8.36
one_point,50,60,25,60,330,8.58
heuristic,50,30,25,40,439,6.62
heuristic,50,40,25,40,639,9.22
heuristic,50,50,25,40,492,5.92
heuristic,50,60,25,40,500,7.37
heuristic,50,70,25,40,493,5.11
heuristic,50,60,15,40,537,7.9
heuristic,50,60,25,40,362,5.41
heuristic,50,60,35,40,403,7.41
heuristic,50,60,45,40,561,5.63
heuristic,50,60,55,40,570,5.73
heuristic,50,60,25,20,494,11.07
heuristic,50,60,25,30,409,6.15
heuristic,50,60,25,40,649,6.62
heuristic,50,60,25,50,626,5.56
heuristic,50,60,25,60,462,5.78
uniform,100,30,25,40,550,12.42
uniform,100,40,25,40,534,12.46
uniform,100,50,25,40,503,12.64
uniform,100,60,25,40,472,14.0
uniform,100,70,25,40,501,9.81
uniform,100,60,15,40,516,17.31
uniform,100,60,25,40,465,12.17
uniform,100,60,35,40,521,11.41
uniform,100,60,45,40,529,13.92
uniform,100,60,55,40,432,16.17
uniform,100,60,25,20,477,13.37
uniform,100,60,25,30,323,13.88
uniform,100,60,25,40,295,10.69
uniform,100,60,25,50,476,10.58
uniform,100,60,25,60,436,14.79
one_point,100,30,25,40,381,11.99
one_point,100,40,25,40,520,12.44
one_point,100,50,25,40,401,11.37
one_point,100,60,25,40,474,11.78
one_point,100,70,25,40,287,7.89
one_point,100,60,15,40,517,12.49
one_point,100,60,25,40,448,12.61
one_point,100,60,35,40,480,13.34
one_point,100,60,45,40,408,13.24
one_point,100,60,55,40,529,14.52
one_point,100,60,25,20,433,9.23
one_point,100,60,25,30,506,12.69
one_point,100,60,25,40,415,13.19
one_point,100,60,25,50,522,17.57
one_point,100,60,25,60,470,14.36
heuristic,100,30,25,40,493,14.63
heuristic,100,40,25,40,440,13.03
heuristic,100,50,25,40,418,14.18
heuristic,100,60,25,40,494,12.62
heuristic,100,70,25,40,456,11.96
heuristic,100,60,15,40,375,12.66
heuristic,100,60,25,40,486,13.92
heuristic,100,60,35,40,544,12.39
heuristic,100,60,45,40,539,12.43
heuristic,100,60,55,40,468,13.59
heuristic,100,60,25,20,452,11.19
heuristic,100,60,25,30,426,11.45
heuristic,100,60,25,40,426,15.84
